unnamed_0,company,typename,inches,screenresolution,cpu,ram,memory,gpu,opsys,weight,price
137.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I5 7300HQ 2.5GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,3KG,49976.64
138.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,4GB,1TB HDD,NVIDIA GEFORCE 920MX,NO OS,2.2KG,26586.72
139.0,HP,NOTEBOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,4GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.32KG,37242.72
140.0,ACER,NOTEBOOK,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I3 7130U 2.7GHZ,4GB,1TB HDD,NVIDIA GEFORCE MX130,WINDOWS 10,3KG,34898.4
141.0,LENOVO,NOTEBOOK,14,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,AMD RADEON RX 550,WINDOWS 10,1.75KG,59461.5456
142.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050M,NO OS,2.4KG,46300.32
143.0,TOSHIBA,NOTEBOOK,15.6,1366X768,INTEL CORE I5 6200U 2.3GHZ,4GB,500GB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,2.1KG,32074.56
144.0,HP,NOTEBOOK,15.6,1366X768,AMD A6-SERIES 9220 2.5GHZ,4GB,256GB SSD,AMD RADEON R4 GRAPHICS,WINDOWS 10,1.86KG,19660.32
145.0,ASUS,ULTRABOOK,14,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.25KG,58554.72
146.0,HP,ULTRABOOK,12.5,IPS PANEL 4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE M 6Y75 1.2GHZ,8GB,512GB SSD,INTEL HD GRAPHICS 515,WINDOWS 10,0.97KG,107305.92
147.0,ASUS,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 500,WINDOWS 10,2KG,18328.32
,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
149.0,ACER,NOTEBOOK,15.6,1366X768,INTEL CORE I3 6006U 2GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,2.1KG,23816.16
150.0,DELL,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,512GB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.56KG,66560.5728
151.0,DELL,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,1.0TB HYBRID,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.62KG,47898.72
152.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL CORE I5 7200U 2.5GHZ,4GB,128GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.9KG,26533.44
153.0,MSI,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,2.8KG,100699.2
154.0,HP,ULTRABOOK,14,FULL HD 1920X1080,INTEL CORE I5 7500U 2.7GHZ,4GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.48KG,57648.96
155.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,6GB,256GB SSD,AMD RADEON 520,WINDOWS 10,1.91KG,32980.32
156.0,LENOVO,2 IN 1 CONVERTIBLE,14,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I3 7100U 2.4GHZ,4GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.74KG,33513.12
157.0,ASUS,2 IN 1 CONVERTIBLE,13.3,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.1KG,70063.2
158.0,DELL,2 IN 1 CONVERTIBLE,15.6,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.56KG,55890.72
159.0,TOSHIBA,NOTEBOOK,15.6,1366X768,INTEL CORE I3 6006U 2.2GHZ,4GB,500GB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,2.1KG,23816.16
160.0,ASUS,NOTEBOOK,15.6,1366X768,AMD A9-SERIES 9420 3GHZ,4GB,1TB HDD,AMD RADEON R5 M420,WINDOWS 10,2.03KG,21471.84
161.0,ACER,NOTEBOOK,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,4GB,256GB SSD,NVIDIA GEFORCE MX150,WINDOWS 10,3KG,42890.4
162.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,AMD RADEON 520,WINDOWS 10,2.13KG,38787.84
163.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD,NVIDIA GEFORCE GTX 1050 TI,WINDOWS 10,2.5KG,57489.12
164.0,ACER,NOTEBOOK,15.6,1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 500,WINDOWS 10,2.1KG,18541.44
165.0,MSI,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,2.4KG,95850.72
166.0,ACER,NOTEBOOK,15.6,1366X768,INTEL PENTIUM QUAD CORE N4200 1.1GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 505,WINDOWS 10,2.1KG,19367.8128
167.0,DELL,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.56KG,56502.9072
168.0,ACER,NOTEBOOK,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,NVIDIA GEFORCE MX150,WINDOWS 10,3KG,45501.12
169.0,HP,NOTEBOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,4GB,500GB HDD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.49KG,40173.12
170.0,HUAWEI,ULTRABOOK,13,IPS PANEL FULL HD 2160X1440,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.05KG,71874.72
171.0,HP,NOTEBOOK,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,6GB,2TB HDD,AMD RADEON 520,WINDOWS 10,2.71KG,37242.72
172.0,LENOVO,NOTEBOOK,15.6,1366X768,AMD A6-SERIES 9220 2.9GHZ,4GB,500GB HDD,AMD RADEON R4 GRAPHICS,NO OS,2.2KG,16463.52
173.0,TOSHIBA,NOTEBOOK,15.6,1366X768,INTEL CORE I3 7100U 2.4GHZ,4GB,500GB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,5.4KG,26053.92
174.0,HP,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,NVIDIA GEFORCE 930MX,WINDOWS 10,2.5KG,49177.44
175.0,DELL,NOTEBOOK,15.6,1366X768,INTEL CORE I3 7100U 2.4GHZ,8GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.3KG,24455.52
176.0,ACER,NOTEBOOK,15.6,1366X768,INTEL CORE I3 6006U 2GHZ,4GB,128GB SSD,INTEL HD GRAPHICS 520,WINDOWS 10,2.1KG,23922.72
177.0,MSI,GAMING,18.4,FULL HD 1920X1080,INTEL CORE I7 6920HQ 2.9GHZ,32GB,512GB SSD +  1TB HDD,NVIDIA GTX 980 SLI,WINDOWS 10,4.4KG,149130.72
178.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,128GB SSD +  1TB HDD,AMD R17M-M1-70,WINDOWS 10,1.90KG,43316.64
179.0,HP,2 IN 1 CONVERTIBLE,13.3,IPS PANEL 4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.29KG,79866.72
180.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,16GB,256GB SSD +  2TB HDD,AMD RADEON 530,LINUX,2.02KG,55890.72
181.0,DELL,ULTRABOOK,13.3,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.23KG,74538.72
182.0,LENOVO,2 IN 1 CONVERTIBLE,13.9,IPS PANEL 4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 8550U 1.8GHZ,16GB,512GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.4KG,98514.72
183.0,TOSHIBA,NOTEBOOK,15.6,1366X768,INTEL CORE I5 7200U 2.5GHZ,8GB,128GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,2.0KG,42251.04
184.0,XIAOMI,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,NVIDIA GEFORCE MX150,NO OS,1.95KG,63882.72
185.0,DELL,NOTEBOOK,17.3,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,16GB,512GB SSD,NVIDIA GEFORCE 150MX,WINDOWS 10,2.77KG,82530.72
186.0,DELL,NOTEBOOK,15.6,4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 7700HQ 2.8GHZ,16GB,512GB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.06KG,127712.16
187.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7300HQ 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050,NO OS,2.4KG,41505.12
188.0,ACER,ULTRABOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7Y54 1.2GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 615,WINDOWS 10,1.12KG,52693.92
189.0,DELL,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,128GB SSD +  1TB HDD,AMD RADEON 530,WINDOWS 10,2.8KG,57808.8
,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
191.0,VERO,NOTEBOOK,14,IPS PANEL FULL HD 1920X1080,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,32GB FLASH STORAGE,INTEL HD GRAPHICS 500,WINDOWS 10,1.3KG,13852.8
192.0,XIAOMI,ULTRABOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE MX150,NO OS,1.3KG,53274.672
193.0,LENOVO,NOTEBOOK,17.3,1600X900,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,NVIDIA GEFORCE MX150,NO OS,2.8KG,37189.44
194.0,DELL,2 IN 1 CONVERTIBLE,13.3,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,1TB HDD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.62KG,44701.92
195.0,HP,NOTEBOOK,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,1TB HDD,NVIDIA GEFORCE 930MX,WINDOWS 10,2.5KG,48697.92
196.0,RAZER,GAMING,17.3,4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 7820HK 2.9GHZ,32GB,1TB SSD,NVIDIA GEFORCE GTX 1080,WINDOWS 10,3.49KG,324954.72
197.0,HP,NOTEBOOK,13.3,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,512GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.49KG,51095.52
198.0,HP,GAMING,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,3.35KG,73473.12
199.0,HP,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE 930MX ,WINDOWS 10,2.5KG,55677.6
200.0,DELL,GAMING,15.6,IPS PANEL 4K ULTRA HD 3840X2160,INTEL CORE I7 7700HQ 2.8GHZ,16GB,512GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,2.65KG,98301.6
201.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL CORE I5 6200U 2.3GHZ,4GB,128GB SSD,INTEL HD GRAPHICS 520,WINDOWS 10,2.1KG,26267.04
202.0,ACER,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,1TB HDD,NVIDIA GEFORCE 940MX,WINDOWS 10,2.23KG,39533.76
203.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,512GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,3.2KG,93186.72
204.0,DELL,WORKSTATION,15.6,4K ULTRA HD 3840X2160,INTEL XEON E3-1505M V6 3GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA QUADRO M1200,WINDOWS 10,2.8KG,162770.4
205.0,LENOVO,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,512GB SSD,NVIDIA GEFORCE GTX 1060,NO OS,2.4KG,74485.44
206.0,DELL,NOTEBOOK,15.6,TOUCHSCREEN 1366X768,INTEL CORE I3 7100U 2.4GHZ,6GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.3KG,23389.92
207.0,DELL,ULTRABOOK,13.3,IPS PANEL 4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.21KG,103842.72
208.0,DELL,ULTRABOOK,13.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,?,77202.72
,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
210.0,ACER,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,1TB HDD,NVIDIA GEFORCE GTX 1050,LINUX,2.4KG,41505.12
211.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.9KG,74964.96
212.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I3 6006U 2GHZ,4GB,500GB HDD,INTEL HD GRAPHICS 520,NO OS,2.1KG,18594.72
213.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,NO OS,2.2KG,29250.72
214.0,HUAWEI,ULTRABOOK,13,IPS PANEL FULL HD 2160X1440,INTEL CORE I7 7500U 2.7GHZ,8GB,512GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.05KG,79866.72
215.0,DELL,ULTRABOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,AMD RADEON 530,WINDOWS 10,1.4KG,49650.5664
216.0,LENOVO,NOTEBOOK,17.3,1600X900,INTEL CORE I5 7200U 2.5GHZ,8GB,1TB HDD,NVIDIA GEFORCE GTX 940MX,NO OS,2.8KG,31381.92
217.0,HP,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE 930MX,WINDOWS 10,1.63KG,54931.68
218.0,DELL,ULTRABOOK,14,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.6KG,61218.72
219.0,DELL,2 IN 1 CONVERTIBLE,13.3,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,16GB,512GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.62KG,68145.12
220.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,AMD RADEON 520,LINUX,2.2KG,36089.208
221.0,LENOVO,2 IN 1 CONVERTIBLE,14,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.74KG,47898.72
222.0,TOSHIBA,ULTRABOOK,13.3,FULL HD 1920X1080,INTEL CORE I7 6500U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 520,WINDOWS 10,1.2KG,72620.64
223.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,1TB HDD,INTEL UHD GRAPHICS 620,WINDOWS 10,2.1KG,42304.32
224.0,DELL,GAMING,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,4.42KG,130873.7952
225.0,ACER,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,NVIDIA GEFORCE 940MX,WINDOWS 10,2.2KG,44328.96
226.0,DELL,NOTEBOOK,15.6,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 7500U 2.7GHZ,16GB,1TB HDD,AMD RADEON R7 M445,WINDOWS 10,2.3KG,45768.0528
227.0,ASUS,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE 920MX ,WINDOWS 10,2KG,40972.32
228.0,ASUS,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD +  500GB HDD,NVIDIA GEFORCE GTX 950M,WINDOWS 10,2.69KG,47472.48
229.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,1TB HDD,AMD FIREPRO W4190M ,WINDOWS 10,1.9KG,67612.32
230.0,ASUS,NOTEBOOK,15.6,1366X768,INTEL CORE I3 7100U 2.4GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.37KG,21258.1872
231.0,HP,NOTEBOOK,15.6,1366X768,AMD E-SERIES 9000E 1.5GHZ,4GB,500GB HDD,AMD RADEON R2,WINDOWS 10,2.1KG,17582.4
232.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,3.2KG,79866.72
233.0,DELL,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.6KG,45767.52
234.0,ACER,2 IN 1 CONVERTIBLE,13.3,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I5 6200U 2.3GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 520,WINDOWS 10,1.6KG,36709.92
235.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,16GB,256GB SSD,AMD RADEON R7 M445,LINUX,2.36KG,47898.72
236.0,ACER,NOTEBOOK,15.6,1366X768,INTEL CORE I3 6006U 2GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 520,LINUX,2.1KG,20779.2
237.0,ASUS,NOTEBOOK,15.6,FULL HD 1920X1080,AMD A10-SERIES A10-9620P 2.5GHZ,4GB,128GB SSD +  1TB HDD,AMD RADEON R5 M430,WINDOWS 10,2.2KG,30636.0
238.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7820HK 2.9GHZ,32GB,512GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1080,WINDOWS 10,4.7KG,207259.2
239.0,ACER,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7300HQ 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.5KG,45074.88
240.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL CORE I3 6006U 2GHZ,8GB,128GB SSD,INTEL HD GRAPHICS 520,WINDOWS 10,7.2KG,31381.92
241.0,ASUS,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE 150MX,WINDOWS 10,2.1KG,61005.6
242.0,ASUS,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 950M,NO OS,2.69KG,47365.92
243.0,DELL,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I5 7300HQ 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.56KG,46833.12
244.0,LENOVO,2 IN 1 CONVERTIBLE,13.9,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.38KG,57489.12
245.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,128GB SSD +  2TB HDD,AMD RADEON 530,WINDOWS 10,2.2KG,52480.8
246.0,HP,NOTEBOOK,15.6,TOUCHSCREEN 1366X768,INTEL CORE I5 7200U 2.5GHZ,8GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.04KG,29783.52
247.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7820HK 2.9GHZ,16GB,256GB SSD,NVIDIA GEFORCE GTX 1080,WINDOWS 10,3.6KG,159786.72
248.0,HP,NOTEBOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,4GB,500GB HDD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.49KG,35964.0
249.0,APPLE,ULTRABOOK,13.3,IPS PANEL RETINA DISPLAY 2560X1600,INTEL CORE I5 3.1GHZ,8GB,512GB SSD,INTEL IRIS PLUS GRAPHICS 650,MACOS,1.37KG,108691.2
250.0,DELL,2 IN 1 CONVERTIBLE,15.6,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,1TB HDD,INTEL UHD GRAPHICS 620,WINDOWS 10,2.08KG,43636.32
251.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 980M,WINDOWS 10,4.3KG,95850.72
252.0,ASUS,NOTEBOOK,15.6,1366X768,AMD A9-SERIES 9420 3GHZ,4GB,1TB HDD,AMD RADEON R5 M420,WINDOWS 10,1.68KG,24988.32
253.0,LENOVO,2 IN 1 CONVERTIBLE,13.9,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,512GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.37KG,98514.72
254.0,ACER,NOTEBOOK,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I3 7130U 2.7GHZ,4GB,256GB SSD,NVIDIA GEFORCE MX130,WINDOWS 10,3KG,37402.56
255.0,DELL,ULTRABOOK,13.3,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.41KG,50562.72
256.0,HP,NOTEBOOK,15.6,1366X768,AMD A6-SERIES A6-9220 2.5GHZ,8GB,128GB SSD,AMD RADEON R4 GRAPHICS,WINDOWS 10,1.91KG,23757.552
257.0,HP,NOTEBOOK,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,16GB,1TB HDD,NVIDIA GEFORCE MX150,WINDOWS 10,2.9KG,56423.52
258.0,MSI,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,512GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1070,WINDOWS 10,4.14KG,133146.72
259.0,LENOVO,2 IN 1 CONVERTIBLE,15.6,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,512GB SSD,NVIDIA GEFORCE GTX 1050M,WINDOWS 10,2KG,90522.72
260.0,DELL,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,128GB SSD +  1TB HDD,AMD RADEON 530,WINDOWS 10,2.8KG,60845.76
261.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I3 6006U 2GHZ,4GB,256GB SSD,INTEL HD GRAPHICS 520,NO OS,2.2KG,23656.32
262.0,HP,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,4GB,500GB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.1KG,38468.16
263.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.18KG,35004.96
264.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,1TB HDD,AMD RADEON R5 M430,WINDOWS 10,2.24KG,30103.2
265.0,DELL,2 IN 1 CONVERTIBLE,15.6,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,2.67KG,42570.72
266.0,ASUS,2 IN 1 CONVERTIBLE,13.3,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,512GB SSD +  512GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,4.1KG,79866.72
,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
268.0,HP,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,1TB HDD,NVIDIA GEFORCE 930MX ,WINDOWS 10,2.5KG,54239.04
